state,district,police,fire,ambulance,tourist_helpline,women_helpline,childline,disaster_mgmt,road_accident,rail_accident
Haryana,Karnal,100,101,102,1363,1091,1098,108,1073,1072
Haryana,Rohtak,100,101,102,1363,1091,1098,108,1073,1072
Haryana,Hisar,100,101,102,1363,1091,1098,108,1073,1072
Haryana,Sonipat,100,101,102,1363,1091,1098,108,1073,1072
Haryana,Kurukshetra,100,101,102,1363,1091,1098,108,1073,1072
Haryana,Panchkula,100,101,102,1363,1091,1098,108,1073,1072
Chhattisgarh,Raipur,100,101,102,1363,1091,1098,108,1073,1072
Chhattisgarh,Bilaspur,100,101,102,1363,1091,1098,108,1073,1072
Chhattisgarh,Durg,100,101,102,1363,1091,1098,108,1073,1072
Chhattisgarh,Bastar,100,101,102,1363,1091,1098,108,1073,1072
Chhattisgarh,Korba,100,101,102,1363,1091,1098,108,1073,1072
Chhattisgarh,Dantewada,100,101,102,1363,1091,1098,108,1073,1072
Chhattisgarh,Surguja,100,101,102,1363,1091,1098,108,1073,1072
Chhattisgarh,Janjgir-Champa,100,101,102,1363,1091,1098,108,1073,1072
Chhattisgarh,Koriya,100,101,102,1363,1091,1098,108,1073,1072
Chhattisgarh,Mahasamund,100,101,102,1363,1091,1098,108,1073,1072
Bihar,Patna,100,101,102,1363,1091,1098,108,1073,1072
Bihar,Gaya,100,101,102,1363,1091,1098,108,1073,1072
Bihar,Bhagalpur,100,101,102,1363,1091,1098,108,1073,1072
Bihar,Muzaffarpur,100,101,102,1363,1091,1098,108,1073,1072
Bihar,Nalanda,100,101,102,1363,1091,1098,108,1073,1072
Bihar,Darbhanga,100,101,102,1363,1091,1098,108,1073,1072
Bihar,Purnea,100,101,102,1363,1091,1098,108,1073,1072
Bihar,Arrah,100,101,102,1363,1091,1098,108,1073,1072
Bihar,Begusarai,100,101,102,1363,1091,1098,108,1073,1072
Bihar,Chapra,100,101,102,1363,1091,1098,108,1073,1072
Jharkhand,Ranchi,100,101,102,1363,1091,1098,108,1073,1072
Jharkhand,Jamshedpur,100,101,102,1363,1091,1098,108,1073,1072
Jharkhand,Dhanbad,100,101,102,1363,1091,1098,108,1073,1072
Jharkhand,Hazaribagh,100,101,102,1363,1091,1098,108,1073,1072
Jharkhand,Deoghar,100,101,102,1363,1091,1098,108,1073,1072
Jharkhand,Giridih,100,101,102,1363,1091,1098,108,1073,1072
Jharkhand,Bokaro,100,101,102,1363,1091,1098,108,1073,1072
Jharkhand,Palamu,100,101,102,1363,1091,1098,108,1073,1072
Jharkhand,Chaibasa,100,101,102,1363,1091,1098,108,1073,1072
Jharkhand,Godda,100,101,102,1363,1091,1098,108,1073,1072
Andhra Pradesh,Vishakhapatnam,100,101,102,1363,1091,1098,108,1073,1072
Andhra Pradesh,Vijayawada,100,101,102,1363,1091,1098,108,1073,1072
Andhra Pradesh,Tirupati,100,101,102,1363,1091,1098,108,1073,1072
Andhra Pradesh,Nellore,100,101,102,1363,1091,1098,108,1073,1072
Andhra Pradesh,Guntur,100,101,102,1363,1091,1098,108,1073,1072
Andhra Pradesh,Kurnool,100,101,102,1363,1091,1098,108,1073,1072
Andhra Pradesh,Kakinada,100,101,102,1363,1091,1098,108,1073,1072
Andhra Pradesh,Anantapur,100,101,102,1363,1091,1098,108,1073,1072
Andhra Pradesh,Rajahmundry,100,101,102,1363,1091,1098,108,1073,1072
